20190826 16:25:47 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:User_DB_DAL][Function:		public Common.Model.User_DB_Model GetModel()TableName:User_DB][]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 15;defectCode = Short Mold;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 16;defectCode = Stain Mark;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 17;defectCode = Weld Line;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 18;defectCode = Flashes;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 19;defectCode = Foreign Materials;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 2;defectCode = Scratches;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 20;defectCode = Drag;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 21;defectCode = Material Bleed;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 22;defectCode = Bent;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 23;defectCode = Deform;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 24;defectCode = Gas Mark;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 3;defectCode = Dented Mark;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 4;defectCode = Shinning Dot;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
20190826 16:26:04 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = d00bbd3f-234c-4d70-8cbd-24a4d7aae548;machineID = 1;dateTime = 2019/8/26 16:26:00;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/26 16:26:00;stopTime = ;day = 2019/8/26 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 5;defectCode = Black Mark;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/26 16:26:00;remarks = ]
