20190814 09:34:43 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:User_DB_DAL][Function:		public Common.Model.User_DB_Model GetModel()TableName:User_DB][]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 12;defectCode = Flow Line;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 13;defectCode = Over-Cut;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 14;defectCode = Crack;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 15;defectCode = Short Mold;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 16;defectCode = Stain Mark;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 17;defectCode = Weld Line;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 18;defectCode = Flashes;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 19;defectCode = Foreign Materials;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 2;defectCode = Scratches;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
20190814 09:35:47 上午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 5bb95e85-b22e-442e-9c88-08aed4d18091;machineID = 1;dateTime = 2019/8/14 9:35:39;partNumber = M2E4106296 L2;jigNo = TCS 022;model = PASA 480A;cavityCount = 1;userName = Wong Kee Chin;userID = D6;startTime = 2019/8/14 9:35:39;stopTime = ;day = 2019/8/14 0:00:00;shift = Day;status = Running;matPart01 = 2405-901510;matPart02 = DS3002R-7011A;matLot01 = E9126F;matLot02 = 18RA0303;defectCodeID = 20;defectCode = Drag;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2019/8/14 9:35:39;remarks = ]
